patient,sample,lane,fastq_1,fastq_2
NA12878,NA12878_200,L001,/PATH/TO/A006850052_NA12878_200M_R1.fq.gz,/PATH/TO/test_data/A006850052_NA12878_200M_R2.fq.gz
NA12878,NA12878_75,L001,/PATH/TO/A006850052_NA12878_75M_R1.fq.gz,/PATH/TO/test_data/A006850052_NA12878_75M_R2.fq.gz
